Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
M_test,,,,,,16.85651263,47.75036238,164.038,Global,0.051,0.024,0.010,0.056,2.086,m,FIX,2024-10-08 09:24:55.3 UTC+02:00,2024-10-08 09:25:00.5 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,16.416,,Global CS,10,10,0,0,0
M_001,,,,,,16.85650930,47.75035834,164.076,Global,0.011,0.012,0.011,0.016,2.086,m,FIX,2024-10-08 09:37:36.9 UTC+02:00,2024-10-08 09:37:41.9 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,16.308,,Global CS,10,9,0,0,0
M_002,,,,,,16.85652746,47.75009001,164.752,Global,0.014,0.026,0.012,0.029,2.086,m,FIX,2024-10-08 09:41:13.7 UTC+02:00,2024-10-08 09:41:18.7 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,39.849,,Global CS,10,8,3,0,0
M_003,,,,,,16.85674387,47.75018260,164.139,Global,0.010,0.010,0.012,0.015,2.086,m,FIX,2024-10-08 09:43:40.5 UTC+02:00,2024-10-08 09:43:45.5 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,41.691,,Global CS,10,8,0,0,0
M_004,,,,,,16.85694133,47.75033879,163.951,Global,0.015,0.011,0.010,0.018,2.086,m,FIX,2024-10-08 09:46:00.0 UTC+02:00,2024-10-08 09:46:05.0 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,48.120,,Global CS,10,9,3,0,0
M_005,,,,,,16.85722033,47.75028772,163.935,Global,0.010,0.012,0.011,0.016,2.086,m,FIX,2024-10-08 09:48:44.1 UTC+02:00,2024-10-08 09:48:49.1 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,69.750,,Global CS,10,9,0,0,0
M_006,,,,,,16.85729162,47.75046398,164.232,Global,0.011,0.011,0.011,0.015,2.086,m,FLOAT,2024-10-08 09:51:13.7 UTC+02:00,2024-10-08 09:51:18.9 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,73.777,,Global CS,10,9,0,0,0
M_007,,,,,,16.85756087,47.75038914,164.260,Global,0.010,0.009,0.013,0.014,2.086,m,FLOAT,2024-10-08 09:53:40.5 UTC+02:00,2024-10-08 09:53:45.8 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,93.836,,Global CS,10,9,0,0,0
M_008,,,,,,16.85767028,47.75054592,164.134,Global,0.031,0.016,0.013,0.035,2.086,m,FLOAT,2024-10-08 09:56:16.2 UTC+02:00,2024-10-08 09:56:21.4 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,102.945,,Global CS,10,9,0,0,0
M_009,,,,,,16.85791780,47.75028624,164.655,Global,0.011,0.013,0.011,0.017,2.086,m,FIX,2024-10-08 09:59:24.6 UTC+02:00,2024-10-08 09:59:29.8 UTC+02:00,27,1.3,1.4,,,,16.85631028,47.75041728,166.507,121.420,,Global CS,10,9,0,0,0
M_010,,,,,,16.85816781,47.75035603,165.009,Global,0.013,0.011,0.011,0.017,2.086,m,FLOAT,2024-10-08 10:01:49.1 UTC+02:00,2024-10-08 10:01:54.1 UTC+02:00,26,1.3,1.4,,,,16.85631028,47.75041728,166.507,139.459,,Global CS,10,9,0,0,0
M_011,,,,,,16.85816646,47.75053350,163.937,Global,0.010,0.011,0.011,0.015,2.086,m,FIX,2024-10-08 10:04:44.2 UTC+02:00,2024-10-08 10:04:49.4 UTC+02:00,27,1.2,1.4,,,,16.85631028,47.75041728,166.507,139.784,,Global CS,10,9,0,0,0
M_012,,,,,,16.85828487,47.75077062,164.080,Global,0.011,0.010,0.015,0.015,2.086,m,FLOAT,2024-10-08 10:07:10.0 UTC+02:00,2024-10-08 10:07:15.2 UTC+02:00,27,1.2,1.4,,,,16.85631028,47.75041728,166.507,153.187,,Global CS,10,9,0,0,0
M_013,,,,,,16.85854693,47.75074771,163.948,Global,0.012,0.011,0.012,0.016,2.086,m,FIX,2024-10-08 10:09:28.2 UTC+02:00,2024-10-08 10:09:33.2 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,171.690,,Global CS,11,0,0,0,0
M_014,,,,,,16.85864341,47.75098235,163.838,Global,0.011,0.012,0.010,0.016,2.086,m,FIX,2024-10-08 10:12:00.4 UTC+02:00,2024-10-08 10:12:05.6 UTC+02:00,27,1.1,1.3,,,,16.85631028,47.75041728,166.507,185.891,,Global CS,11,10,0,0,0
M_015,,,,,,16.85898012,47.75099382,164.048,Global,0.012,0.011,0.018,0.016,2.086,m,FLOAT,2024-10-08 10:14:05.4 UTC+02:00,2024-10-08 10:14:10.4 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,210.212,,Global CS,11,10,0,0,0
M_016,,,,,,16.85909956,47.75124890,163.907,Global,0.011,0.011,0.010,0.016,2.086,m,FIX,2024-10-08 10:16:25.8 UTC+02:00,2024-10-08 10:16:31.0 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,228.681,,Global CS,11,10,0,0,0
M_017,,,,,,16.85950740,47.75131795,163.928,Global,0.011,0.010,0.011,0.015,2.086,m,FIX,2024-10-08 10:19:25.6 UTC+02:00,2024-10-08 10:19:30.8 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,259.819,,Global CS,12,10,0,0,0
M_018,,,,,,16.85961145,47.75163829,163.857,Global,0.013,0.013,0.011,0.018,2.086,m,FIX,2024-10-08 10:21:48.4 UTC+02:00,2024-10-08 10:21:53.4 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,282.329,,Global CS,12,10,0,0,0
M_019,,,,,,16.85964401,47.75188251,163.859,Global,0.012,0.016,0.013,0.020,2.086,m,FIX,2024-10-08 10:24:34.8 UTC+02:00,2024-10-08 10:24:40.0 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,298.393,,Global CS,12,10,0,0,0
M_020,,,,,,16.85922704,47.75201714,163.834,Global,0.015,0.010,0.014,0.018,2.086,m,FIX,2024-10-08 10:26:51.0 UTC+02:00,2024-10-08 10:26:56.2 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,281.938,,Global CS,12,10,0,0,0
M_021,,,,,,16.85892532,47.75241057,164.022,Global,0.012,0.009,0.019,0.015,2.086,m,FLOAT,2024-10-08 10:29:32.2 UTC+02:00,2024-10-08 10:29:37.2 UTC+02:00,26,1.4,1.6,,,,16.85631028,47.75041728,166.507,295.926,,Global CS,12,10,0,0,0
M_022,,,,,,16.85814554,47.75241411,163.848,Global,0.011,0.013,0.014,0.017,2.086,m,FIX,2024-10-08 10:32:34.8 UTC+02:00,2024-10-08 10:32:40.0 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,261.207,,Global CS,12,10,0,0,0
M_023,,,,,,16.85749680,47.75274477,163.962,Global,0.013,0.012,0.015,0.018,2.086,m,FIX,2024-10-08 10:36:08.2 UTC+02:00,2024-10-08 10:36:13.4 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,273.644,,Global CS,13,0,0,0,0
