Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Profile
M001,EPSG:32633,639151.7397847046,5290223.241916233,161.98999999999998,,16.8565093,47.75035834,164.076,Global,0.011,0.012,0.011,0.016,2.086,m,FIX,2024-10-08 09:37:36.9 UTC+02:00,2024-10-08 09:37:41.9 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,16.308,,Global CS,10,9,0,0,0,M001
M002,EPSG:32633,639153.8164019065,5290193.453596037,162.666,,16.85652746,47.75009001,164.752,Global,0.014,0.026,0.012,0.029,2.086,m,FIX,2024-10-08 09:41:13.7 UTC+02:00,2024-10-08 09:41:18.7 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,39.849,,Global CS,10,8,3,0,0,M002
M003,EPSG:32633,639169.7896969868,5290204.132828757,162.053,,16.85674387,47.7501826,164.139,Global,0.01,0.01,0.012,0.015,2.086,m,FIX,2024-10-08 09:43:40.5 UTC+02:00,2024-10-08 09:43:45.5 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,41.691,,Global CS,10,8,0,0,0,M003
M004,EPSG:32633,639184.1729824126,5290221.84623569,161.86499999999998,,16.85694133,47.75033879,163.951,Global,0.015,0.011,0.01,0.018,2.086,m,FIX,2024-10-08 09:46:00.0 UTC+02:00,2024-10-08 09:46:05.0 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,48.12,,Global CS,10,9,3,0,0,M004
M005,EPSG:32633,639205.2205330287,5290216.672433157,161.849,,16.85722033,47.75028772,163.935,Global,0.01,0.012,0.011,0.016,2.086,m,FIX,2024-10-08 09:48:44.1 UTC+02:00,2024-10-08 09:48:49.1 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,69.75,,Global CS,10,9,0,0,0,M005
M006,EPSG:32633,639210.0935967288,5290236.389422578,162.146,,16.85729162,47.75046398,164.232,Global,0.011,0.011,0.011,0.015,2.086,m,FLOAT,2024-10-08 09:51:13.7 UTC+02:00,2024-10-08 09:51:18.9 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,73.777,,Global CS,10,9,0,0,0,M006
M007,EPSG:32633,639230.473770581,5290228.556481183,162.17399999999998,,16.85756087,47.75038914,164.26,Global,0.01,0.009,0.013,0.014,2.086,m,FLOAT,2024-10-08 09:53:40.5 UTC+02:00,2024-10-08 09:53:45.8 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,93.836,,Global CS,10,9,0,0,0,M007
M008,EPSG:32633,639238.2558313216,5290246.177169335,162.04799999999997,,16.85767028,47.75054592,164.134,Global,0.031,0.016,0.013,0.035,2.086,m,FLOAT,2024-10-08 09:56:16.2 UTC+02:00,2024-10-08 09:56:21.4 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,102.945,,Global CS,10,9,0,0,0,M008
M009,EPSG:32633,639257.5005843468,5290217.762942097,162.569,,16.8579178,47.75028624,164.655,Global,0.011,0.013,0.011,0.017,2.086,m,FIX,2024-10-08 09:59:24.6 UTC+02:00,2024-10-08 09:59:29.8 UTC+02:00,27,1.3,1.4,,,,16.85631028,47.75041728,166.507,121.42,,Global CS,10,9,0,0,0,M009
M010,EPSG:32633,639276.0528324773,5290225.969054371,162.92299999999997,,16.85816781,47.75035603,165.009,Global,0.013,0.011,0.011,0.017,2.086,m,FLOAT,2024-10-08 10:01:49.1 UTC+02:00,2024-10-08 10:01:54.1 UTC+02:00,26,1.3,1.4,,,,16.85631028,47.75041728,166.507,139.459,,Global CS,10,9,0,0,0,M010
M011,EPSG:32633,639275.4780011903,5290245.689833387,161.851,,16.85816646,47.7505335,163.937,Global,0.01,0.011,0.011,0.015,2.086,m,FIX,2024-10-08 10:04:44.2 UTC+02:00,2024-10-08 10:04:49.4 UTC+02:00,27,1.2,1.4,,,,16.85631028,47.75041728,166.507,139.784,,Global CS,10,9,0,0,0,M011
M012,EPSG:32633,639283.7200225752,5290272.255408452,161.994,,16.85828487,47.75077062,164.08,Global,0.011,0.01,0.015,0.015,2.086,m,FLOAT,2024-10-08 10:07:10.0 UTC+02:00,2024-10-08 10:07:15.2 UTC+02:00,27,1.2,1.4,,,,16.85631028,47.75041728,166.507,153.187,,Global CS,10,9,0,0,0,M012
M013,EPSG:32633,639303.422666418,5290270.181045926,161.862,,16.85854693,47.75074771,163.948,Global,0.012,0.011,0.012,0.016,2.086,m,FIX,2024-10-08 10:09:28.2 UTC+02:00,2024-10-08 10:09:33.2 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,171.69,,Global CS,11,0,0,0,0,M013
